"Name","Active","Date","Operator","Description","href","Type","Fields","Pools","Order_Num","Order_Amendment","Order_Amendment_Num","Pool_Count_0","Pool_Count","Oil_Pool_Count","Gas_Pool_Count","Field_Count_0","Field_Count","Start_Page","Stop_Page"
"AIO 4 F .003","FALSE","2015-06-29","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative Approval to allow well PBU 04-09 to be online in water only injection service with known inner annulus by outer annulus. Cancelled on 2018-05-21.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4F.003%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20F%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","F","3",FALSE,1,1,0,FALSE,1,44,302
"AIO 4 F .004","TRUE","2015-07-09","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well 13-06A (PTD 1972180) to be online in water only injection service with a shallow packer depth.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4F.004%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20F%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","F","4",FALSE,1,1,0,FALSE,1,48,302
"AIO 4 F .005","TRUE","2015-10-02","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well S-25A (PTD 1982140) to be online in water only injection service with known inner annulus repressurization.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4F.005%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20F%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","F","5",FALSE,1,1,0,FALSE,1,52,302
"AIO 4 F .006","TRUE","2015-12-07","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well 13-17 (PTD 1820260) to be online in water alternating gas (WAG) injection service with a shallow packer depth (cemented inner annulus).","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4F.006%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20F%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","F","6",FALSE,1,1,0,FALSE,1,57,302
"AIO 4 F .007","TRUE","2016-04-11","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well X-33 (PTD 1961440) to be online in water only injection service with known inner annulus repressurization. Prudhoe Bay Unit (PBU) X-33 (PTD 1961440)","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4F.007%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20F%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","F","7",FALSE,1,1,0,FALSE,1,63,302
"AIO 4 F .008","TRUE","2016-05-23","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well 14-27 (PTD 1831700) to be online in water alternating gas (WAG) injection service with a shallow packer depth (cemented inner annulus).","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4F.008%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20F%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","F","8",FALSE,1,1,0,FALSE,1,70,302
"AIO 4 G","TRUE","2015-10-15","BP Exploration (Alaska) Inc.","PRUDHOE BAY FIELD: Request that Area Injection Order (AIO) 4F be amended to allow the injection of carbon dioxide (CO2) for enhanced recovery and pressure maintenance purposes from sources inside and outside the PBU.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","LISBURNE OIL, PRUDHOE OIL, PT M STUMP ISLAND OIL, PT MCINTYRE OIL, PUT RIVER OIL, W BEACH OIL","4","G","",FALSE,6,6,0,FALSE,1,1,430
"AIO 4 G .001","TRUE","2016-08-02","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well 09-25 (PTD 1840280) to be online in water only injection service with known inner annulus (IA) repressurization.  Prudhoe Bay Unit (PBU) 09-25 (PTD 1840280)","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.001%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","1",FALSE,1,1,0,FALSE,1,17,430
"AIO 4 G .002","TRUE","2016-09-01","BP Exploration (Alaska) Inc.","PT MCINTYRE OIL POOL: Administrative approval to allow well P2-09 (PTD 1980660) to be online in water alternating gas (WAG) injection service with a shallow packer depth (cemented inner annulus).","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.002%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PT MCINTYRE OIL","4","G","2",FALSE,1,1,0,FALSE,1,22,430
"AIO 4 G .003","TRUE","2016-09-01","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well 13-31A (PTD 2051600) to be online in water only injection service with known inner annulus (IA) repressurization.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.003%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","3",FALSE,1,1,0,FALSE,1,27,430
"AIO 4 G .004","FALSE","2017-02-16","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well 11-07 (PTD 1811770) to be online in water only injection service with a known inner annulus (IA) by outer annulus (OA) communication. Cancelled on 2019-12-12.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.004%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","4",FALSE,1,1,0,FALSE,1,35,430
"AIO 4 G .005","TRUE","2017-02-16","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well P1-21 (PTD 1930590) to be online in water alternating gas (WAG) injection service with a shallow packer depth (cemented inner annulus).","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.005%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","5",FALSE,1,1,0,FALSE,1,42,430
"AIO 4 G .006","TRUE","2017-04-06","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well 04-43 (PTD 1940130) to be online in water only injection service with a shallow packer depth (cemented inner annulus).","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.006%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","6",FALSE,1,1,0,FALSE,1,51,430
"AIO 4 G .007","FALSE","2017-09-18","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well 16-14B (PTD 2060030) to be online in water alternating gas (WAG) injection service with known inner annulus repressurization. Cancelled on 2019-07-11.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.007%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","7",FALSE,1,1,0,FALSE,1,63,430
"AIO 4 G .008","TRUE","2018-02-15","BP Exploration (Alaska) Inc.","PRUDHOE OIL POOL: Administrative approval to allow well R-22A (PTD 2141640) and lateral R-22AL1 (PTD 2141650) to be online in water only injection service with known inner annulus (IA) repressurization. Amended on 2020-07-23.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.008%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","8",FALSE,1,1,0,FALSE,1,70,430
"AIO 4 G .009","TRUE","2019-12-12","BP Exploration (Alaska) Inc.","Administrative approval to allow well 11-07 (PTD 1811770) to be online in water only injection service with a known inner annulus repressurization.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.009%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","9",FALSE,1,1,0,FALSE,1,77,430
"AIO 4 G .010","TRUE","2020-08-10","Hilcorp North Slope, LLC","Admin Appproval to allow well PSI-01 (PTD 2021450) to be online in water only injection service with a known inner annulus (IA) repressurization.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.010%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","10",FALSE,1,1,0,FALSE,1,83,430
"AIO 4 G .011","TRUE","2020-08-10","Hilcorp North Slope, LLC","Administrative approval to allow well 17-13A (PTD 2050200) to be online in water only injection service with a known inner annulus (IA) repressurization. Amended on 2023-11-28.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.011%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","11",FALSE,1,1,0,FALSE,1,86,430
"AIO 4 G .012","TRUE","2022-02-03","Hilcorp North Slope, LLC","Admin approval to continue water alternating gas injection P1-01 (PTD 1900270),","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.012%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PT MCINTYRE OIL","4","G","12",FALSE,1,1,0,FALSE,1,92,430
"AIO 4 G .013","TRUE","2022-02-16","Hilcorp North Slope, LLC","Administrative approval to continue Water Alternating Gas injection with Tx1A pressure communication.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.013%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PT MCINTYRE OIL","4","G","13",FALSE,1,1,0,FALSE,1,96,430
"AIO 4 G .014","TRUE","2022-03-02","Hilcorp North Slope, LLC","Administrative approval to continue gas injection into PBU NGI-12 (PTD-1770810)","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.014%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","14",FALSE,1,1,0,FALSE,1,100,430
"AIO 4 G .015","TRUE","2022-03-21","Hilcorp North Slope, LLC","Administrative approval to continue gas injection WGI-02 (PTD 1790430).","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.015%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","15",FALSE,1,1,0,FALSE,1,104,430
"AIO 4 G .016","TRUE","2023-06-14","Hilcorp North Slope, LLC","Administrative Approval to Area Injection Order 4G; Water InjectionPrudhoe Bay Unit (PBU) 04-11A (PTD 1931580), Prudhoe Oil Pool","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.016%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","16",FALSE,1,1,0,FALSE,1,108,430
"AIO 4 G .017","TRUE","2024-03-18","Hilcorp North Slope, LLC","Administrative Approval to Area Injection Order 4G; Gas InjectionPrudhoe Bay Unit (PBU) 03-07B (PTD 2191820)","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.017%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","17",FALSE,1,1,0,FALSE,1,112,430
"AIO 4 G .018","TRUE","2025-04-23","Hilcorp North Slope, LLC","Administrative Approval to Area Injection Order 4G.018: Water Only Injection Prudhoe Bay Unit PAVE 3-1 (PTD 2241400)","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO4G.018%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20004%20G%22}","AIO","PRUDHOE BAY","PRUDHOE OIL","4","G","18",FALSE,1,1,0,FALSE,1,115,430
"AIO 5","TRUE","1986-07-25","Union","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Underground injection of fluids for enhanced recovery in McArthur Riv Middle Kenai G, Hemlock and West Foreland oil pools in the Trading Bay Unit.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","","",FALSE,2,2,0,FALSE,1,1,1010
"AIO 5 .001","TRUE","1986-10-10","Union","HEMLOCK OIL, MIDDLE KENAI G OIL, WEST FORELAND OIL POOLS: Amends AIO No. 5, Rule 6, Well Integrity Failure","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.001%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL, WEST FORELAND OIL","5","1","",FALSE,3,3,0,FALSE,1,9,1010
"AIO 5 .002","TRUE","2005-03-29","Union Oil Company of California","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval for continued injection with an integrity loss Grayling 40 (PTD 190-003).","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.002%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","2","",FALSE,2,2,0,FALSE,1,10,1010
"AIO 5 .003","TRUE","2005-03-20","Union Oil Company of California","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval for continued injection with an integrity loss Grayling 27 (PTD 178-070).","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.003%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","3","",FALSE,2,2,0,FALSE,1,16,1010
"AIO 5 .004","TRUE","2005-06-30","Union Oil Company of California","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval for continued injection with an integrity loss Trading Bay Unit G-23RD.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.004%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","4","",FALSE,2,2,0,FALSE,1,22,1010
"AIO 5 .005","TRUE","2005-09-07","Union Oil Company of California","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval for continued injection with an integrity loss Trading Bay Unit G-16.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.005%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","5","",FALSE,2,2,0,FALSE,1,27,1010
"AIO 5 .006","FALSE","2005-09-14","Union Oil Company of California","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval for continued injection with an integrity loss Trading Bay Unit G-22.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.006%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","6","",FALSE,2,2,0,FALSE,1,32,1010
"AIO 5 .007","FALSE","2005-09-23","Union Oil Company of California","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval for continued injection with an integrity loss Trading Bay Unit G-29RD. Cancelled on 2018-02-07.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.007%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","7","",FALSE,2,2,0,FALSE,1,47,1010
"AIO 5 .008","TRUE","2005-12-02","Union Oil Company of California","HEMLOCK OIL POOL: Administrative Approval for continued injection with an integrity loss Trading Bay Unit K-4RD.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.008%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL","5","8","",FALSE,1,1,0,FALSE,1,52,1010
"AIO 5 .009","TRUE","2005-12-15","Union Oil Company of California","G-NE/HEMLOCK-NE OIL POOL: Administrative Approval to inject water into the subject well TBU G-11.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.009%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","TRADING BAY","G-NE/HEMLOCK-NE OIL","5","9","",FALSE,1,1,0,FALSE,1,57,1010
"AIO 5 .010","FALSE","2006-02-06","Union Oil Company of California","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval under Rule 9 to continue water injection into well TBU K-24RD2 subject to conditions specified in this approval. Cancelled on 2018-02-07.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.010%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","10","",FALSE,2,2,0,FALSE,1,68,1010
"AIO 5 .011","TRUE","2006-02-06","Union Oil Company of California","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval under Rule 9 PBU K-11. Amended on 2006-02-21.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.011%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","11","",FALSE,2,2,0,FALSE,1,75,1010
"AIO 5 .012","FALSE","2006-03-01","Union Oil Company of California","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval to inject water in Trading Bay Unit G-5RD. Cancelled","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.012%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","12","",FALSE,2,2,0,FALSE,1,82,1010
"AIO 5 .013","FALSE","2007-10-04","Chevron USA Inc.","HEMLOCK OIL POOL: Administrative Approval to restart injection TBU K-22.   Expired 3/31/18.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.013%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL","5","13","",FALSE,1,1,0,FALSE,1,91,1010
"AIO 5 .014","TRUE","2008-07-29","Union Oil Company of California","HEMLOCK OIL POOL: Administrative Approval to continue water injection into TBU G-09.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.014%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL","5","14","",FALSE,1,1,0,FALSE,1,95,1010
"AIO 5 .015","TRUE","2008-02-28","Union Oil Company of California","HEMLOCK OIL POOL: Administrative Approval to continue water injection into TBU G-19.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.015%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL","5","15","",FALSE,1,1,0,FALSE,1,100,1010
"AIO 5 .016","FALSE","2008-09-05","Hilcorp Alaska, LLC","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: TBU D-15RD2 request for admin approval to continue water injection. Cancelled","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.016%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","16","",FALSE,2,2,0,FALSE,1,104,1010
"AIO 5 .017","TRUE","2013-12-06","Hilcorp Alaska, LLC","HEMLOCK OIL, MIDDLE KENAI G OIL, WEST FORELAND OIL POOLS: Administrative Approval to add treated sanitary waste to the enhanced oil recovery fluids at McArthur River Field.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.017%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL, WEST FORELAND OIL","5","17","",FALSE,3,3,0,FALSE,1,113,1010
"AIO 5 .018","FALSE","2014-02-13","Hilcorp Alaska, LLC","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval allowing well G-12RD3 to be online in water only injection service with a known tubing x inner annulus pressure communication. Expired on 2015-02-13.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.018%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","18","",FALSE,2,2,0,FALSE,1,119,1010
"AIO 5 .019","TRUE","2014-06-10","Hilcorp Alaska, LLC","MIDDLE KENAI G OIL POOL: Request to allow water only injection for one year to determine the longer term economic benefit for EOR in the Middle Kenai G oil pool.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.019%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","MIDDLE KENAI G OIL","5","19","",FALSE,1,1,0,FALSE,1,125,1010
"AIO 5 .020","FALSE","2015-08-14","Hilcorp Alaska, LLC","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative approval to allow well G-04RD (PTD 1811830) to be online in water only injection service with known production casing integrity issues. Trading Bay Unit (TBU) G-04RD (PTD 1811830). Cancelled","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.020%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","20","",FALSE,2,2,0,FALSE,1,131,1010
"AIO 5 .021","TRUE","2016-02-02","Hilcorp Alaska, LLC","HEMLOCK OIL POOL: Administrative Approval Trading Bay Unit D-41.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.021%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL","5","21","",FALSE,1,1,0,FALSE,1,141,1010
"AIO 5 .022","FALSE","2016-02-03","Hilcorp Alaska, LLC","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative Approval TBU K-03RD. Cancelled on 2018-02-07.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.022%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","22","",FALSE,2,2,0,FALSE,1,151,1010
"AIO 5 .023","TRUE","2016-02-26","Hilcorp Alaska, LLC","HEMLOCK OIL, G-NE/HEMLOCK-NE OIL, WEST FORELAND OIL POOLS: Administrative approval to allow well M-27 (PTD 1901380) to be online in water only injection service with known outer annulus (OOA) by outer annulus (OOOA) communication.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.023%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","TRADING BAY","G-NE/HEMLOCK-NE OIL, HEMLOCK OIL, W FORELAND OIL","5","23","",FALSE,3,3,0,FALSE,1,156,1010
"AIO 5 .024","FALSE","2016-05-04","Hilcorp Alaska, LLC","HEMLOCK OIL, MIDDLE KENAI G OIL POOLS: Administrative approval to allow well G-04RD (PTD 1811830) to be online in water only injection service with known tubing by inner annulus communication. Trading Bay Unit (TBU) G-04RD (PTD 1811830). Cancelled on 2019-09-24.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO5.024%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20005%22}","AIO","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL","5","24","",FALSE,2,2,0,FALSE,1,166,1010
